0.6	4	0.5	KOUQ	1.3203	0.647042	0.49525
0.6	8	0.5	KOUQ	1.42804	0.834004	0.49815
0.6	16	0.5	KOUQ	1.46243	0.904165	0.495787
0.6	32	0.5	KOUQ	1.46917	0.913848	0.496069
0.6	64	0.5	KOUQ	1.47979	0.92624	0.496014
0.6	128	0.5	KOUQ	1.48152	0.935848	0.496089
0.8	4	0.5	KOUQ	1.35082	0.706677	0.492425
0.8	8	0.5	KOUQ	1.40959	0.807034	0.49315
0.8	16	0.5	KOUQ	1.45672	0.886619	0.493969
0.8	32	0.5	KOUQ	1.47153	0.910504	0.494963
0.8	64	0.5	KOUQ	1.47979	0.92624	0.496014
0.8	128	0.5	KOUQ	1.48152	0.935848	0.496089
1.0	4	0.5	KOUQ	1.35123	0.715614	0.497675
1.0	8	0.5	KOUQ	1.42333	0.832341	0.496538
1.0	16	0.5	KOUQ	1.45774	0.886765	0.496069
1.0	32	0.5	KOUQ	1.47283	0.911131	0.496994
1.0	64	0.5	KOUQ	1.48219	0.934306	0.496678
1.0	128	0.5	KOUQ	1.48186	0.937477	0.49675
