2	4	0.5	KOUQ	1.271	0.562464	0.473275
2	8	0.5	KOUQ	1.35611	0.716874	0.466863
2	16	0.5	KOUQ	1.38726	0.786897	0.460481
2	32	0.5	KOUQ	1.40495	0.816849	0.458784
2	64	0.5	KOUQ	1.40989	0.829075	0.458989
2	128	0.5	KOUQ	1.4101	0.83097	0.458555
3	4	0.5	KOUQ	1.32494	0.650748	0.487325
3	8	0.5	KOUQ	1.42697	0.827185	0.490237
3	16	0.5	KOUQ	1.44917	0.876725	0.488994
3	32	0.5	KOUQ	1.45725	0.89207	0.487144
3	64	0.5	KOUQ	1.46361	0.906887	0.486887
3	128	0.5	KOUQ	1.4654	0.911871	0.486074
4	4	0.5	KOUQ	1.33021	0.664082	0.489775
4	8	0.5	KOUQ	1.4471	0.865602	0.497287
4	16	0.5	KOUQ	1.46894	0.909202	0.497281
4	32	0.5	KOUQ	1.47538	0.920906	0.495837
4	64	0.5	KOUQ	1.48427	0.93691	0.496447
4	128	0.5	KOUQ	1.4844	0.939462	0.496215
